5,6,169.8251,11,26.16041,48,4,4,1,0,0,1,3,30.5166,0,0,0,0,0
8,8,181.6565,15,34.06059,69,0,11,3,2,0,0,0,14.44356,4,1,0,0,0
14,23,87.03384,13,11.80008,25,1,6,1,2,0,0,0,6.696753,6,0,0,0,0
16,29,190.5063,13,24.58037,40,3,31,4,4,0,0,1,26.11,3,2,0,0,0
11,41,45.40059,8,6.979994,10,0,0,0,1,0,0,0,3.673296,6,1,0,0,0
23,64,219.5375,12,31.18052,45,5,5,5,10,0,1,0,64.12504,2,2,0,1,5
22,123,72.30093,9,12.6201,8,3,9,2,4,0,1,0,6.776739,5,1,0,0,2
14,31.66667,137.358,14,20.16694,48.33333,3.333333,29.33333,5.333333,2.666667,0,1,2.333333,3.785068,7.333333,1,0,1,0
20,74,132.5894,14,14.52014,46,4,45,8,5,0,0,4,2.635446,13,2,0,1,5
12.66667,48.66667,196.7813,13.33333,28.20045,46,0.666667,20,1.666667,3.333333,0,0,0.333333,19.10135,5.333333,2,0,0.333333,1
16,144,130.8747,15,22.14032,45,0,13,5,4,0,0,0,2.501893,11,0,0,1,4
1,3,35.70979,6,4.119997,17,0,0,0,0,0,0,0,1.684556,1,0,0,0,0
0,2,39.25949,7,9.62003,17,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,43.49925,5,11.60008,13,1,0,0,1,0,0,0,3.642723,1,1,0,0,0
5,12,18.96369,2,4.059997,1,0,0,0,0,0,0,0,0.703797,2,0,0,0,0
14,125,65.58295,7,12.92011,10,1,0,0,0,0,0,0,2.705308,2,0,0,0,2
20,126,40.13098,8,6.079995,12,0,12,1,1,0,0,0,1.160939,5,0,0,1,0
2,6,207.6429,12,14.48014,21,1,0,0,0,0,0,1,70.21968,0,0,0,0,0
1,3,183.159,8,43.90081,28,4,0,0,0,0,0,1,35.38635,1,0,0,0,0
9,59,67.3679,11,7.299994,29,2,9,3,5,0,0,0,0,3,1,0,1,1
13,71,49.00076,8,10.98006,27,10,23,4,3,0,1,8,0.12008,5,0,0,1,0
18,122,36.65021,8,5.439996,10,1,13,3,2,0,0,0,0,6,1,0,0,0
24,133,82.76705,12,10.12004,39,6,19,6,7,2,2,2,1.256726,1,2,0,0,3
27,527,83.2338,12,10.48005,35,3,30,4,4,5,0,0,2.620069,11,1,0,0,1
27,2707,27.13344,4,5.419996,14,0,4,0,0,1,0,0,0.153341,5,0,0,0,0
15,40,120.3643,13,11.14007,28,1,5,2,2,0,0,1,16.53673,10,2,0,0,1
21,105,127.614,11,25.50039,43,1,7,3,3,0,0,0,4.296752,4,1,0,0,9
19,104,31.18336,8,3.699997,18,0,0,0,4,0,0,0,0,6,1,0,0,0
20,264,53.75096,6,9.880036,17,0,10,2,8,3,0,0,1.553361,6,0,2,0,0
23,465,60.818,10,9.760034,20,2,11,3,3,2,0,0,0.45333,6,1,0,1,1
26,6243,65.40144,12,8.159997,34,2,17,5,2,6,1,1,0.570004,11,0,1,0,1
